,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-06-11,114,66,53,52,92,571,1491,1690,1658,1328,1151,1112,1195,1301,1265,1425,1684,1668,1482,1014,704,553,393,259
2019-06-12,121,53,47,54,119,545,1424,1752,1583,1261,1159,995,1046,1307,1202,1443,1711,1328,1481,1075,782,585,460,279
2019-06-13,142,69,46,53,119,592,1399,1685,1616,1269,1158,1080,1103,1185,1239,1402,1564,1684,1448,1039,827,500,522,292
2019-06-14,158,76,75,64,125,568,1385,1606,1539,1232,1140,1064,1108,1353,1483,1392,1325,1317,1479,1039,754,615,573,417
2019-06-15,270,152,105,74,74,217,308,432,618,834,976,1095,1148,1151,1170,1236,1081,1179,1048,953,760,577,547,481
2019-06-16,376,277,141,101,88,119,133,139,211,379,613,709,898,885,963,921,853,886,891,709,682,601,432,250
2019-06-17,138,78,58,54,110,571,1405,1648,1606,1315,1165,1054,1101,1241,1256,1456,1601,1727,1407,980,737,583,419,233
2019-06-18,129,69,48,59,116,563,1414,1715,1702,1316,1109,1031,1098,1236,1259,1392,1576,1688,1484,1059,752,656,505,191
2019-06-19,139,65,52,61,125,554,1382,1635,1676,1321,1140,1065,1065,1314,1365,1728,1740,1675,1439,1105,859,657,588,428
2019-06-20,170,97,106,96,68,135,150,150,263,456,635,803,982,836,1004,813,827,817,793,656,580,511,466,314
2019-06-21,174,110,62,65,108,429,917,1261,1168,1232,1239,1260,1205,1418,1454,1423,1469,1473,1280,1001,795,618,558,404
2019-06-22,269,161,94,80,77,193,299,385,576,884,1069,1164,1307,1355,1331,1669,1834,1775,1437,1082,832,603,553,488
2019-06-23,439,375,251,151,80,136,130,142,253,461,712,929,1052,1099,1063,1181,1603,1390,1189,946,728,681,344,297
2019-06-24,199,172,108,67,116,623,1530,1825,1752,1307,1201,1156,1133,1342,1357,1496,1745,1857,1541,1063,757,617,429,252
2019-06-25,131,75,47,59,124,623,1518,1843,1738,1411,1281,1203,1211,1425,1337,1591,1768,1759,1584,1088,767,651,513,241
2019-06-26,143,83,53,38,136,650,1511,1816,1674,1461,1175,1113,1161,1317,1242,1458,1605,1590,1356,1073,728,672,541,284
2019-06-27,144,87,45,61,131,654,1410,1389,1669,1279,1224,1190,1366,1489,1410,1521,1692,1658,1510,1095,844,873,565,282
2019-06-28,174,87,61,74,147,614,1357,1658,1710,1441,1186,1173,1410,1609,1617,1806,1809,1711,1417,1149,910,733,649,386
2019-06-29,354,206,124,85,98,235,342,456,804,985,1049,1086,1225,1299,1265,1283,1219,1258,1132,931,804,633,714,535
2019-06-30,336,309,202,112,101,116,138,168,365,490,605,809,854,853,838,859,826,916,1002,861,783,666,551,358
2019-07-01,138,79,56,63,121,626,1490,1806,1614,1384,1064,1109,1216,1384,1291,1603,1818,1847,1581,1149,724,623,510,206
2019-07-02,126,82,43,53,104,609,1495,1845,1610,1344,1158,1126,1180,1430,1342,1632,1865,1857,1592,1200,808,670,529,481
2019-07-03,153,74,45,55,125,593,1505,1856,1656,1305,1155,1077,1286,1453,1441,1656,1887,2044,1556,1198,857,699,578,458
2019-07-04,141,87,43,55,116,596,1507,1872,1584,1273,1232,1115,1336,1493,1425,1631,1857,2047,1632,1210,871,655,508,321
2019-07-05,150,90,51,69,124,580,1402,1832,1544,1321,1305,1258,1423,1699,1700,1824,1836,1937,1634,1244,924,687,673,497
2019-07-06,295,165,119,90,86,217,357,523,794,1128,1095,1272,1353,1320,1396,1322,1225,1261,1180,1005,838,579,720,574
2019-07-07,432,273,166,120,80,124,135,160,295,508,719,972,1002,1000,1065,990,964,1020,906,775,660,604,475,243
2019-07-08,123,66,41,58,107,585,1514,1753,1581,1370,1216,1129,1194,1382,1327,1673,1848,1923,1310,1061,777,621,456,243
2019-07-09,114,67,29,50,116,572,1480,1826,1582,1396,1250,1160,1377,1425,1444,1557,1823,1980,1675,1185,734,716,484,257
2019-07-10,192,118,63,46,118,554,1487,1779,1705,1393,1255,1240,1245,1489,1488,1692,1905,2007,1800,1290,804,573,540,308
2019-07-11,156,86,56,49,115,576,1453,1870,1639,1320,1308,1258,1287,1522,1508,1615,1895,1829,1589,1131,830,710,551,306
2019-07-12,157,82,52,55,122,537,1326,1750,1582,1346,1245,1366,1577,1687,1684,1748,1890,1914,1722,1420,951,739,546,474
2019-07-13,347,202,120,55,88,196,317,481,736,967,1067,1203,1311,1377,1491,1354,1315,1301,1301,1109,876,728,568,514
2019-07-14,388,282,163,102,83,119,128,159,219,467,715,889,943,907,1072,1068,921,1096,1002,882,721,597,449,212
2019-07-15,125,58,41,48,117,509,1397,1809,1667,1341,1222,1313,1314,1373,1462,1476,1821,1840,1664,1160,664,633,465,236
2019-07-16,135,73,34,56,123,550,1384,1827,1593,1440,1345,1297,1213,1458,1458,1701,1908,1918,1622,1196,798,658,539,222
2019-07-17,138,63,42,56,118,570,1493,1865,1623,1339,1322,1235,1245,1499,1480,1666,1874,1941,1636,1146,888,788,445,290
2019-07-18,146,77,47,55,127,556,1446,1808,1652,1378,1312,1249,1339,1530,1528,1748,1873,1992,1772,1249,892,761,569,281
2019-07-19,153,91,47,70,122,547,1290,1626,1645,1279,1313,1349,1460,1632,1659,1704,1769,1814,1606,1223,944,719,582,468
2019-07-20,333,199,109,71,73,207,318,452,828,1016,1336,1361,1486,1334,1312,1324,1262,1329,1161,966,799,629,591,563
2019-07-21,453,307,160,120,88,121,121,166,234,554,759,866,1137,1077,1132,1098,1030,1096,1087,1030,744,594,395,270
2019-07-22,111,69,41,58,114,565,1487,1887,1676,1335,1188,1108,1229,1329,1324,1540,1817,1921,1497,1044,759,593,436,214
